"company","market","country","city","area","website","linkedin","instagram","email","whatsapp","decision_maker","role","source_url","pain_signal","notes","stage","last_contacted","language"
"LuxuryProperty.com","dubai","UAE","Dubai","Palm Jumeirah / Downtown Dubai","https://www.luxuryproperty.com","","","info@luxuryproperty.com","","Management team","Agency management","https://www.luxuryproperty.com/contact","luxury leads, owner valuation, premium website conversion","Good fit for valuation experience demo.","contacted","2026-05-06","en"
"Rocky Real Estate","dubai","UAE","Dubai","Al Barsha / Dubai wide","https://www.rockyrealestate.com","","","info@rockyrealestate.com","","Management team","Agency management","https://www.rockyrealestate.com/contact-us","established agency, transaction experience, seller and rental leads","Use operational efficiency angle.","contacted","2026-05-06","en"
"Binayah Properties","dubai","UAE","Dubai","Dubai wide","https://www.binayah.com","","","info@binayah.com","","Management team","Agency management","https://www.binayah.com/contact-us/","sales and leasing agency, owner leads, valuation workflow","Good mid-market agency target.","contacted","2026-05-06","en"
"Knight Frank MENA","dubai","UAE","Dubai","DIFC / Dubai wide","https://www.knightfrank.ae","","","info@ae.knightfrank.com","","Management team","Partner / Head of Residential","https://www.knightfrank.ae/contact-us","advisory brand, valuation credibility, institutional clients","Use commercial credibility, not simple widget-only pitch.","contacted","2026-05-06","en"
"Savills Middle East","dubai","UAE","Dubai","Dubai wide","https://www.savills.me","","","dubai@savills.me","","Management team","Agency management","https://dubai.savills.ae/forms/contact-office.aspx?id=241187-0","global advisory, valuation workflow, high-value clients","Enterprise-style pitch only.","contacted","2026-05-06","en"
"Chestertons MENA","dubai","UAE","Dubai","Dubai wide","https://www.chestertonsmena.com","","","info@chestertonsmena.com","","Management team","Agency management","https://www.chestertonsmena.com/contact-us","established brokerage, valuation and advisory, website leads","Good credibility target for demo deck.","contacted","2026-05-06","en"
"Linda's Real Estate","dubai","UAE","Dubai","Dubai Marina / Emirates Living","https://www.lindas.ae","","","hello@lindas.ae","","Management team","Agency management","https://www.lindas.ae/contact","boutique brand, homeowner leads, website conversion","Friendly founder-style message likely better than corporate copy.","contacted","2026-05-06","en"
"fäm Properties","dubai","UAE","Dubai","Dubai – 15+ oficinas, todos los hubs","https://famproperties.com","https://linkedin.com/company/fam-properties","@famproperties","info@famproperties.com","+97142483600","Firas Al Msaddi (CEO)","Brokerage residencial + inversión","https://famproperties.com","Coordinar 250 agentes en valuaciones consistentes con datos verificados; capturar leads en múltiples idiomas desde su web.","Claude score 100; Tier A — contactar ahora. La agencia más grande de Dubai por agentes (~250+). Tiene sub-páginas dedicadas a brokers que hablan ruso, francés, español. Cliente ideal para widget multilingüe. Tamaño grande: la decisión puede pasar por COO/CMO antes que founder. Probar también con Head of Marketing.","contacted","2026-05-06","en"
"Banke International Properties","dubai","UAE","Dubai","Dubai – Emarat Atrium, Sheikh Zayed Rd","https://banke.ae","https://linkedin.com/company/bankeinternational","@bankeinternational","enquiries@banke.ae","800-BANKE (800-22653)","Porush Jhunjhunwala (Founder & CEO)","Boutique brokerage, residencial + comercial","https://banke.ae","Capturar leads inversores indios y del Golfo desde su web; valuación rápida para el equipo de 400+.","Claude score 100; Tier A — contactar ahora. Top 50 brokerage por FIABCI Emirates. ~455 empleados. Presencia India + UAE + UK + Qatar. Founder accesible en LinkedIn; pitch directo.","contacted","2026-05-06","en"
"Dubai Immo / Elysee Vendome Real Estate LLC","dubai","UAE","Dubai","Dubai – Tower Plaza Hotel, Trade Center 1","https://dubai-immo.com","https://linkedin.com/company/elysee-vendome-real-estate","@dubai_immo","contact@dubai-immo.com","+971563672667","Guillaume Giroux (Founder)","Brokerage 100% francófona, off-plan + secundario","https://dubai-immo.com","Posicionarse como referente francófono con tasación AI usando datos verificados; matching cliente perfecto para FonatProp France + Dubai.","Claude score 100; Tier A — contactar ahora. Líder francófona en Dubai (>3500 inversores, 150+ developers, RERA 24853). 30+ empleados franceses. Premio MENAA. Excelente match: cubren Francia + Dubai. Pitch por ambos productos.","contacted","2026-05-06","fr"
"DRN Dubai Real Estate","dubai","UAE","Dubai","Dubai – Bay Square, Building 11, Office 506, Business Bay","https://dubairealestate.net","https://linkedin.com/company/drn-real-estate","@drndubai","info@dubairealestate.net","+971585587880","Nicolas Debains (Founder)","Brokerage francófona, off-plan + secundario + gestión locativa","https://dubairealestate.net","Diferenciarse en velocidad y precisión de tasación; capturar leads desde la web francés.","Claude score 100; Tier A — contactar ahora. Activa desde 2017. Foco en inversores franceses con guía completa de A a Z. Match alto, founder accesible.","contacted","2026-05-06","fr"
"Provident Estate","dubai","UAE","Dubai","Dubai – Aspect Tower, Business Bay","https://providentestate.com","https://linkedin.com/company/providentestate","@providentestate","","","Loai Al Fakir (Co-Founder) – verificar nombre","Brokerage residencial + off-plan + property mgmt","https://providentestate.com","Capturar leads de su tráfico, dar a los agentes una herramienta de valuación rápida y confiable.","Claude score 85; Tier A — contactar ahora. 400+ agentes. Cobertura en todos los hubs. Tráfico web alto. Tamaño grande – probar con Head of Marketing primero. Duplicate branch/brand already contacted; excluded from cold email.","do_not_contact","","en"
"Knight Frank Dubai","dubai","UAE","Dubai","Dubai – DIFC","https://knightfrank.ae","https://linkedin.com/company/knight-frank","@knightfrankuae","","","Andrew Cummings (Partner Head of Residential)","Consultoría real estate global, prime residential","https://knightfrank.ae","Diferenciarse en speed-to-valuation versus boutique locales; capturar leads ultra-prime con widget premium.","Claude score 85; Tier A — contactar ahora. Marca global, exclusivo de mansiones $200M+. Audiencia HNW. Demo de FonatProp como capa de evidencia para sus valuaciones formales. Decisión puede ser global desde London HQ; pitch local con foco en speed. Duplicate branch/brand already contacted; excluded from cold email.","do_not_contact","","fr"
"Henry Wiltshire International","dubai","UAE","Dubai","Dubai + Abu Dhabi","https://henrywiltshire.ae","https://linkedin.com/company/henry-wiltshire-international","@henrywiltshire","","","Andrew Covill (Owner & Director Abu Dhabi)","Boutique residencial UK-roots, alianza Knight Frank","https://henrywiltshire.ae","Una herramienta de valuación AI les ayuda a competir en speed con grandes consultoras.","Claude score 85; Tier A — contactar ahora. UK-origin con alianza estratégica Knight Frank en septiembre 2025. Foco prime residential. Su core es Abu Dhabi pero tienen Dubai listings; verificar peso Dubai.","researched","","en"
"Dacha Real Estate","dubai","UAE","Dubai","Dubai – Sheikh Zayed Rd","https://dacha.ae","https://linkedin.com/company/dacha-real-estate","@dacharealestate","","","Slava Shidlovskiy (top broker, finalista Bayut Awards 2023)","Brokerage residencial + commercial + sales y rentals","https://dacha.ae","Atender clientes ruso-parlantes con valuación rápida y widget bilingüe.","Claude score 85; Tier A — contactar ahora. Marca con DNA ruso pero opera en inglés. Cobertura en hubs prime. Demo en ruso es plus.","researched","","en"
"DIA Real Estate (Dubai Invest Agency)","dubai","UAE","Dubai","Dubai","https://diaimmo.com","https://linkedin.com – buscar","@dia_realestate","","","Amaury & Anass (co-founders, ~30-32 años)","Brokerage francófona, formula 'turnkey' inversores","https://diaimmo.com","Diferenciarse contra Dubai Immo con stack tech (widget + valuation AI).","Claude score 85; Tier A — contactar ahora. Founders jóvenes franceses, propietarios e inversores en Dubai desde 2018. Tono moderno. Founders de tu edad: pitch directo, founder-to-founder.","researched","","fr"
"Jenna Estates","dubai","UAE","Dubai","Dubai","https://jennaestates.com","https://linkedin.com – buscar","@jennaestates","","","Founder (entrepreneur con ~13 años en Dubai – verificar nombre)","Boutique francófona familiar","https://jennaestates.com","Una capa de IA + widget les diferencia frente a las grandes francesas (Dubai Immo, DRN).","Claude score 85; Tier A — contactar ahora. Marca pequeña con foco en confianza y relación largo plazo. Equipo de inversores propios. Boutique pequeña; pitch a founder directo.","researched","","fr"
"FAME Estate","dubai","UAE","Dubai","Dubai","https://fame-estate.com","https://linkedin.com – buscar","@fame.estate","","","Vlad Blazhennov & Daria Blazhennova (co-founders)","Brokerage de elite, sales con DAMAC, NAKHEEL, Luxe","https://fame-estate.com","Mantener consistencia en valuaciones cuando trabajan con 6 idiomas; widget multilingüe.","Claude score 85; Tier A — contactar ahora. AED 160M ventas mensuales promedio, top-3 con DAMAC. Founders mediáticos. Founders accesibles; pitch en ruso recomendado.","researched","","fr"
"Prime Dubai (Prime LLC Departments)","dubai","UAE","Dubai","Dubai","https://prime.su/departments/dubai","https://linkedin.com – buscar","@prime.realestate","","","Fedor Solomatin (Founder)","Lujo ruso, brokerage + departamento Xaler dev","https://prime.su/departments/dubai","Diferenciarse del resto de boutique ruso-parlantes con stack tech (AI + widget).","Claude score 85; Tier A — contactar ahora. 30 IPA awards. DAMAC Broker Awards 2022 (3rd place Russia). Office 507m² estilo Google. Founder mediático; pitch directo en ruso.","researched","","en"
"House & Hedges Real Estate","dubai","UAE","Dubai","Dubai","https://houseandhedges.com","https://linkedin.com – buscar","@houseandhedges","","","Mirza Nauman Baig (top broker Bayut Awards 2023)","Boutique residencial","https://houseandhedges.com","Capturar leads y diferenciarse contra grandes con stack tech.","Claude score 85; Tier A — contactar ahora. Finalista Bayut Awards 2023 SME. Marca con liderazgo de Mirza Nauman Baig. Boutique; pitch a Mirza Nauman directo via LinkedIn.","researched","","en"
"Williams International Real Estate","dubai","UAE","Dubai","Dubai","https://williamsinternational.ae","https://linkedin.com – buscar","@williamsinternational","","","Elliot Longworth (top broker Bayut Awards 2023)","Boutique residencial premium","https://williamsinternational.ae","Valuación AI + widget como diferenciador anglo-premium.","Claude score 85; Tier A — contactar ahora. Finalista Bayut Awards. Marca anglosajona con foco en lujo. Boutique; pitch directo a Elliot.","researched","","en"
"Strada Real Estate","dubai","UAE","Dubai","Dubai","https://strada.ae","https://linkedin.com – buscar","@strada_dubai","","","Maria Varnava (top broker Bayut Awards 2023)","Boutique residencial","https://strada.ae","Tasación AI como ventaja en speed.","Claude score 85; Tier A — contactar ahora. Finalista Bayut Awards. Marca con perfil sales fuerte. Boutique; pitch a Maria directo.","researched","","en"
"Peace Homes Real Estate","dubai","UAE","Dubai","Dubai","https://peacehomesdubai.com","https://linkedin.com – buscar","@peacehomes","","","Mohammed Wehibi (top broker Bayut Awards 2023)","Boutique residencial + investment","https://peacehomesdubai.com","Widget en árabe + tasación AI.","Claude score 85; Tier A — contactar ahora. Finalista Bayut Awards. Marca con clientela árabe. Boutique árabe-amigable.","researched","","en"
"Luxury Property LLC","dubai","UAE","Dubai","Dubai","https://luxuryproperty.com","https://linkedin.com/company/luxury-property","@luxurypropertycom","","","Kerris Ware (top broker Bayut Awards 2023)","Premium residential, foco en lujo","https://luxuryproperty.com","Diferencial AI en mercado lujo con datos verificados.","Claude score 85; Tier A — contactar ahora. Finalista Bayut Awards. Marca con foco en lujo. Boutique luxury; tono de pitch debe ser premium.","researched","","en"
"H&S Real Estate","dubai","UAE","Dubai","Dubai – HQ central","","","@hsrealestate","","","verificar founder","Brokerage residencial + investment consultancy","","Defender posición top con velocidad y datos verificados de DLD.","Claude score 70; Tier B — segunda tanda. Listado como #1 broker DLD-approved en varios rankings 2025-2026. Verificar URL exacta — varios rankings los citan pero el sitio no se confirmó en la búsqueda.","researched","","en"
"La Riviera Real Estate","dubai","UAE","Dubai","Dubai – verificar oficina","https://larivierarealestate.com","https://linkedin.com – buscar","@larivierarealestate","","","verificar founder (Marion citada como agente top)","Brokerage francófona, residencial + investment","https://larivierarealestate.com","Atender mejor inversores remotos en Francia con tasaciones AI rápidas.","Claude score 70; Tier B — segunda tanda. Marca dedicada a inversores francófonos. Trabaja con top developers Dubai. Boutique; identificar founder antes de pitch.","researched","","fr"
"Madely Properties","dubai","UAE","Dubai","Dubai","https://madelyproperties.com","https://linkedin.com – buscar","@madelyproperties","","","verificar founder","Brokerage francófona, achat sur plan + revente","https://madelyproperties.com","Posicionar tasación AI como ventaja competitiva francesa.","Claude score 70; Tier B — segunda tanda. Foco específico en clientes franceses con asesoría fiscal francesa. Boutique.","researched","","fr"
"Dubai Immobilier (HBS Real Estate)","dubai","UAE","Dubai","Dubai","https://dubaiimmobilier.fr","https://linkedin.com – buscar","@dubaiimmobilier","","","verificar founder","Brokerage francófona la más antigua (2008)","https://dubaiimmobilier.fr","Mantener su liderazgo francés con tasación AI moderna.","Claude score 70; Tier B — segunda tanda. RERA ORN 1774, 17 años de historia, 10K+ clientes, 500 propiedades en gestión locativa, 120+ reseñas Google 5★. Marca establecida; pitch debe respetar su antigüedad y aportar diferencial concreto.","researched","","fr"
"KALINKA Middle East","dubai","UAE","Dubai","Dubai","https://kalinka-realty.com","https://linkedin.com/company/kalinka-realty","@kalinka_realty","","","verificar director Dubai office","Lujo ruso, oficinas en Moscú/Dubai/Sochi/Thailand/London","https://kalinka-realty.com","Una capa de evidencia local Dubai + IA encaja con su mensaje de 'investment strategy con 15-25% ROI'.","Claude score 70; Tier B — segunda tanda. 200K+ propiedades en base de datos, 12-time International Property Awards. Récord penthouse alquiler 5.2M AED/año. Decisión puede pasar por Moscú HQ; pitch al director Dubai primero.","researched","","en"
"Elysian Real Estate","dubai","UAE","Dubai","Dubai","https://elysian.com","https://linkedin.com – buscar","@elysian_dubai","","","verificar founder","Premium curado, fundada 2006","https://elysian.com","Modernizar narrativa premium con AI valuation y widget.","Claude score 70; Tier B — segunda tanda. 17+ años en lujo Dubai. Sitio en ruso e inglés. Tradicional; pitch debe explicar AI sin sonar como gimmick.","researched","","en"
"IMEX Real Estate","dubai","UAE","Dubai","Dubai","https://imexre.com","https://linkedin.com – buscar","@imex_re","","","verificar founder","Brokerage residencial, cobertura amplia","https://imexre.com","Capturar leads desde su tráfico orgánico; valuaciones consistentes.","Claude score 70; Tier B — segunda tanda. Cobertura en todos los hubs Dubai. Listings activos. Mid-size; identificar director comercial.","researched","","en"
"Levante Real Estate","dubai","UAE","Dubai","Dubai – JVC","https://levantere.com","https://linkedin.com – buscar","@levantere","","","verificar founder","Brokerage multilingüe (10 idiomas declarados)","https://levantere.com","Coordinar 10 idiomas con valuación consistente; ideal para widget multi-idioma.","Claude score 70; Tier B — segunda tanda. Sede en JVC, declara 10 idiomas en su equipo. Cobertura en todos los hubs. Mid-boutique; founder probablemente accesible.","researched","","fr"
"Aeon & Trisl Real Estate","dubai","UAE","Dubai","Dubai","https://aeontrisl.com","https://linkedin.com/company/aeontrisl","@aeontrisl","","","verificar founder","Brokerage residencial + investment","https://aeontrisl.com","Equipar a brokers junior con tasación AI rápida.","Claude score 70; Tier B — segunda tanda. Reconocida en mercado mid-tier. Brokers under-30 destacados. Mid-tier; pitch al equipo comercial.","researched","","en"
"Christie's International Real Estate Dubai","dubai","UAE","Dubai","Dubai","https://christiesrealestate.com (Dubai affiliate)","https://linkedin.com/company/christies-international-real-estate","@christiesrealestate","","","verificar Dubai partner","Lujo global afiliado","https://christiesrealestate.com (Dubai affiliate)","Speed-to-evidence en valuaciones de lujo.","Claude score 70; Tier B — segunda tanda. Marca top global de lujo. Acceso a HNW internacional. Verificar afiliado actual en Dubai (cambia con frecuencia).","researched","","fr"
"Foxhills Real Estate","dubai","UAE","Dubai","Dubai – Business Bay","","https://linkedin.com – buscar","@foxhills_dxb","","","verificar founder","Boutique residencial mid-luxury","https://linkedin.com – buscar","Stack tech para parecerse más a grandes.","Claude score 70; Tier B — segunda tanda. Marca de tamaño medio con cobertura en Marina y Downtown. Verificar dominio exacto.","researched","","en"
"Modern Living Real Estate","dubai","UAE","Dubai","Dubai","https://modernlivingdubai.com","https://linkedin.com – buscar","@modernlivingre","","","verificar founder","Boutique residencial","https://modernlivingdubai.com","Widget bilingüe; tasación AI.","Claude score 70; Tier B — segunda tanda. Marca activa con perfil ruso-friendly. Boutique mid; verificar founder.","researched","","en"
"Edelweiss Real Estate","dubai","UAE","Dubai","Dubai","https://edelweissdxb.com","https://linkedin.com – buscar","@edelweissre","","","verificar founder","Boutique residencial con perfil europeo","https://edelweissdxb.com","Widget multilingüe; valuación AI.","Claude score 70; Tier B — segunda tanda. Marca con orientación germanófona/europea. Boutique; verificar founder.","researched","","en"
"Skyrocket Real Estate","dubai","UAE","Dubai","Dubai","https://skyrocket.ae","https://linkedin.com – buscar","@skyrocket_re","","","verificar founder","Boutique residencial mid-tier","https://skyrocket.ae","Diferenciarse vía stack tech.","Claude score 70; Tier B — segunda tanda. Marca activa en hubs principales. Boutique; verificar founder y dominio.","researched","","en"
"Casabella Properties","dubai","UAE","Dubai","Dubai","","https://linkedin.com – buscar","@casabella_dxb","","","verificar founder","Boutique residencial italianizante","https://linkedin.com – buscar","Atender clientes europeos con widget multilingüe.","Claude score 70; Tier B — segunda tanda. Marca con perfil italiano/europeo. Boutique; verificar antes de contactar.","researched","","en"
"Nordstern Real Estate Brokers","dubai","UAE","Dubai","Dubai","https://nordstern.ae","https://linkedin.com – buscar","@nordstern_dxb","","","verificar founder","Boutique residencial germanófona","https://nordstern.ae","Widget en alemán + tasación AI con datos Dubai.","Claude score 70; Tier B — segunda tanda. Marca con perfil alemán/europeo. Boutique germanófona; verificar.","researched","","en"
"One Broker Group (OBG)","dubai","UAE","Dubai","Dubai","","https://linkedin.com – buscar","@one_broker_group","","","verificar founder","Brokerage mid-tier","https://linkedin.com – buscar","Tasación AI rápida + widget.","Claude score 70; Tier B — segunda tanda. Marca con presencia mid-tier en hubs. Verificar antes de contactar.","researched","","en"
"Luxfolio Real Estate Brokers LLC","dubai","UAE","Dubai","Bluewaters; Business Bay; Damac Lagoons; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Design District; Dubai Harbour; Dubai Hills Estate; Dubai Land; Dubai Marina; Dubai South (Dubai World Central); Jumeirah Beach Residence; Jumeirah Golf Estates; Jumeirah Lake Towers","","","","joshua.r@luxfoliorealestate.ae","+971585697500","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/luxfolio-real-estate-brokers-llc-3766","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 16. Active properties proxy: 316. Languages: English; Serbian. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"Nationwide Middle East Properties LLC","dubai","UAE","Dubai","Al Ghadeer; Al Raha Beach; Al Raha Gardens; Al Reef; Al Reem Island; Al Shamkha; Khalifa City; Masdar City; Mohamed Bin Zayed City; Saadiyat Island; Yas Island","","","","johnson-sengnou@nwmea.com","+971509138969","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/nationwide-middle-east-properties-llc-772","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 28. Active properties proxy: 250. Languages: Arabic; English; French; Mandarin; Portuguese; Romanian; Spanish; Turkish; Uzbek. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"TIBA.COM REAL ESTATE","dubai","UAE","Dubai","Ajman Downtown; Al Alia; Al Jurf Industrial; Al Mowaihat; Al Rashidiya; Al Yasmeen; Al Zahya; Sharjah Sustainable City","","","","ahmed.maloul2@gmail.com","+971555020174","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/tiba-com-real-estate-10380","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 6. Active properties proxy: 414. Languages: Arabic; English; French. Recommended channel: email + manual WhatsApp.","researched","","en"
"Elite Property Brokerage","dubai","UAE","Dubai","Al Wasl; Arabian Ranches 3; Business Bay; DAMAC Hills; DIFC; Downtown Dubai; Dubai Design District; Dubai Harbour; Dubai Hills Estate; Dubai Investment Park (DIP); Dubai Marina; Jumeirah; Jumeirah Golf Estates; Jumeirah Village Triangle","","","","jake@elitepropertydxb.com","+971565055043","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/elite-property-brokerage-4428","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 10. Active properties proxy: 329. Languages: Bahasa Melayu; English; Latvian; Russian; Spanish. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"AL MARENA REAL ESTATE L.L.C","dubai","UAE","Dubai","Al Alia; Al Mowaihat; Al Yasmeen; Al Zahya; Al Zorah","","","","almarenarealestate0@gmail.com","+971527040129","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/al-marena-real-estate-l-l-c-12849","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 8. Active properties proxy: 600. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Al Mira Real Estate","dubai","UAE","Dubai","Al Maryah Island; Al Reem Island; Al Shamkha; Masdar City; Saadiyat Island; Yas Island","","","","Marketing.huthaifa.ab@almira.ae","+971544493111","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/al-mira-real-estate-4337","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 17. Active properties proxy: 223. Languages: Arabic; English; French. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
