source,agency_id,agency_name,agency_slug,agency_address,agency_location,public_profile_hint,agents_seen,verified_agents,superagents_seen,active_properties_proxy,sale_properties_proxy,rent_properties_proxy,commercial_properties_proxy,languages,areas,mobile_whatsapp_samples,agent_email_samples,lead_score,priority,pain_signal,recommended_channel
propertyfinder,4211,Al Mira Real Estate,al-mira-real-estate-4337,"Office office 1501, Building Massoud, Al Najda Street, Najda Street, Abu Dhabi,",Abu Dhabi,https://www.propertyfinder.ae/en/broker/al-mira-real-estate-4337,17,17,17,223,195,28,0,Arabic; English; French,Al Maryah Island; Al Reem Island; Al Shamkha; Masdar City; Saadiyat Island; Yas Island,+971544493111; +971504230177; +971501531538; +971505064066; +971506762285; +971501695487; +971544470181,Marketing.huthaifa.ab@almira.ae; Marketing.adham.al@almira.ae; Marketing.mohamad.ha@almira.ae; Marketing.mohamed.el@almira.ae; Marketing.ahmed.ka@almira.ae; Marketing.neama.ab@almira.ae; Marketing.rawan.al@almira.ae; Marketing.ruqayya.al@almira.ae,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,4246,White & Co Real Estate,white-co-real-estate-4372,"Office 7th Floor, Building Control Tower, Motor City, Detroit Road, Dubai,",Dubai,https://www.propertyfinder.ae/en/broker/white-co-real-estate-4372,22,22,22,498,495,0,3,English; French; Greek; Spanish,Al Barari; Al Furjan; Barsha Heights (Tecom); City Walk; DIFC; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Harbour; Dubai Hills Estate; Dubai Investment Park (DIP); Dubai Land; Dubai Marina; Dubai Media City; Dubai South (Dubai World Central),+971557975631; +971527344449,michael.s@whiteandco.net; david.o@whiteandcogroup.com; navi@whiteandcogroup.com; stephanie@whiteandco.net; hefin@whiteandcogroup.com; liam.r@whiteandcogroup.com; conor@whiteandcogroup.com; nikolas@whiteandcogroup.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,3175,METROPOLITAN CAPITAL REAL ESTATE - SOLE PROPRIETORSHIP L.L.C.,metropolitan-capital-real-estate-sole-proprietorship-l-l-c-3301,"Office 706, Building Guardian Office Tower, Danet Abu Dhabi, Sheikh Sultan Bin Zayed Street, Abu Dhabi, PO Box 109531",Abu Dhabi,https://www.propertyfinder.ae/en/broker/metropolitan-capital-real-estate-sole-proprietorship-l-l-c-3301,17,17,17,624,544,75,5,Albanian; Arabic; English; French; Italian; Romanian; Russian; Spanish; Turkish; Ukrainian,Al Maryah Island; Al Raha Beach; Al Reem Island; Al Shamkha; Khalifa City; Masdar City; Saadiyat Island; Yas Island,+971522222147,hussam@abu-dhabi.realestate; naile@abu-dhabi.realestate; mohamad.mazktli@abu-dhabi.realestate; osama@abu-dhabi.realestate; tekla@abu-dhabi.realestate; arafat@abu-dhabi.realestate; amr.saleh@abu-dhabi.realestate; fouad.aleinein@abu-dhabi.realestate,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,10438,HONEST REAL ESTATE,honest-real-estate-10564,"Office Shop No. 16, Building bu khailfa building, Al Helio, Al Helio 2, Ajman,",Ajman,https://www.propertyfinder.ae/en/broker/honest-real-estate-10564,9,8,8,1114,1109,3,2,Arabic; English,Al Alia; Al Mowaihat; Al Rawda; Al Yasmeen; Al Zahya,+971586083422; +971588419305; +971526560376; +971522848690; +971586083421; +971586083423; +971554245309,mahmoudyassien2025@gmail.com; elshikhmoussa495@gmail.com; ahmedawagaa7@gmail.com; nasser711976@gmail.com; mohamedshawky111777@gmail.com; alym28452@gmail.com; hassanabosham430@gmail.com; elshiekhmoussa@gmail.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,4341,AGCO PROPERTIES,agco-properties-4467,"Office 1707, Building Smart Heights, Barsha Heights (Tecom), Barsha, Dubai, PO Box .",Dubai,https://www.propertyfinder.ae/en/broker/agco-properties-4467,4,4,4,261,94,55,112,Arabic; English; French,Arjan; Business Bay; Dubai Hills Estate; Dubai Land; Dubai Marina; Jumeirah Lake Towers; Jumeirah Village Circle; Mirdif; Mohammed Bin Rashid City,+971568792325; +971585678231; +971509575239; +971504116865,Fouad@agcoproprties.com; firas@agcoproperties.com; martin@agcoproperties.com; leen@agcoproperties.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,9447,Smart Real Estate LLC,smart-real-estate-llc-9573,"Office 1306, Building Tower D, Al Rashidiya, Al Etehad Street, Ajman,",Ajman,https://www.propertyfinder.ae/en/broker/smart-real-estate-llc-9573,7,7,7,552,515,4,33,Arabic; English; French,Ajman Uptown; Al Alia; Al Nuaimiya; Al Rashidiya; Al Yasmeen,+971545473284; +971527152586; +971505835451; +971541866099; +971552398776; +971508852347; +971581570418,idres.smart.ae@gmail.com; youssefsamir1018@gmail.com; minaramzy27@gmail.com; minasadak86@gmail.com; sabbouraosamaj@gmail.com; garmelferiel6@gmail.com; fellatadje8@gmail.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,12073,Sky Land real Estate,sky-land-real-estate-12202,"Office 1, Building 1, Al Rawda, 1, Ajman,",Ajman,https://www.propertyfinder.ae/en/broker/sky-land-real-estate-12202,7,7,7,558,558,0,0,Arabic; English,Al Alia; Al Mowaihat; Al Rawda; Al Yasmeen; Al Zahya,+971526020381; +971559361766; +971526020382; +971526034127; +971559804401; +971526020377; +971526020379,Ms0133285@gmail.com; salem0526020381@gmail.com; ahmed0526020382@gmail.com; mohamed0526034127@gmail.com; momenghazi40@gmail.com; a0526020377@gmail.com; azmy0526020379@gmail.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,474,Blue Palace Real Estate,blue-palace-real-estate-563,"Office 501, Building U-Bora Tower, Business Bay, -, Dubai,",Dubai,https://www.propertyfinder.ae/en/broker/blue-palace-real-estate-563,2,2,1,255,255,0,0,Arabic; English,Downtown Dubai; Dubai Harbour; Dubai Hills Estate; Dubai Land; Mohammed Bin Rashid City; Zabeel,+971502926262; +971553220088,info@bluepalacere.com; akram@bluepalacerealestate.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,9509,AL MASAAR PROPERTIES,al-masaar-properties-9635,"Office 1, Building Al massar building, Al Rawda, al tallah ST, Ajman,",Ajman,https://www.propertyfinder.ae/en/broker/al-masaar-properties-9635,7,7,6,579,565,6,8,Arabic; English; French,Al Mowaihat; Al Rawda; Al Yasmeen; Al Zahya; Al Zorah,+971527153705; +971522185679; +971525387359; +971522734259; +971551195520; +971526069299; +971506099540,s0527153705@gmail.com; r0545655107@gmail.com; e0566612419@gmail.com; o0522734259@gmail.com; m0527920002@gmail.com; NN0526069299@gmail.com; m0506099540@gmail.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,7196,Luxven Real Estate,luxven-real-estate-7322,"Office 504, Building B8 Building, Al Barsha, Al Barsha, Dubai,",Dubai,https://www.propertyfinder.ae/en/broker/luxven-real-estate-7322,8,8,8,218,172,46,0,Arabic; English; French,Al Furjan; Arjan; Business Bay; Damac Hills 2; Damac Lagoons; Dubai Investment Park (DIP); Dubai Science Park; Dubai Sports City; Jumeirah Village Circle,+971503984713; +971585998870; +971556526332; +971585852445; +971553709037; +971564795776; +971566527424,muhammad@luxvenrealestate.com; zaid@luxvenrelestate.com; gheith@luxvenrealestate.com; samia@luxvenrealestate.com; marwan@luxvenrealestate.com; ahmed.f@luxvenrealestate.com; fatima.e@luxvenrealestate.com; salam.n@luxvenrealestate.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,911,McCone Properties,mccone-properties-1012,"Office 305, Building Onyx Tower 2, The Greens, n/a, Dubai,",Dubai,https://www.propertyfinder.ae/en/broker/mccone-properties-1012,14,14,14,521,224,282,15,Arabic; Armenian; English; French; German; Hindi; Russian; Spanish; Urdu,Al Barari; Bluewaters; Business Bay; DIFC; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Harbour; Dubai Hills Estate; Dubai Land; Dubai Marina; Dubai South (Dubai World Central); Dubai Studio City; Jumeirah Beach Residence; Jumeirah Lake Towers,+971585005130; +971585454234; +971585321338; +971508679693; +971585650240; +971525406148; +971507086768; +971547562839,mahmoud.a@mcconeproperties.com; jack.e@mcconeproperties.com; hunter.n@mcconeproperties.com; eisa.f@mcconeproperties.com; james.f@mcconeproperties.com; sam@mcconeproperties.com; amna@mcconeproperties.com; chris@mcconeproperties.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,7203,Awtan Real Estate LLC,awtan-real-estate-llc-7329,"Office 411, Building Sama, Al Naemiyah, Khalifa street, Ajman,",Ajman,https://www.propertyfinder.ae/en/broker/awtan-real-estate-llc-7329,4,4,4,234,186,3,45,Arabic; English,Ajman Downtown; Al Alia; Al Jurf Industrial; Al Nuaimiya; Al Rashidiya; Al Yasmeen; Muwaileh Commercial; Sharjah Industrial Area,+971565039050; +971542112260; +971565045505; +971545537090,ibrahim@awtan.ae; esmat@awtan.ae; mohamed.mahmoud@awtan.ae; raef@awtan.ae,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,9882,Mazaya FZE LLC,mazaya-fze-llc-10008,"Office 1, Building 1, Al Zahraa, al zahia, Ajman,",Ajman,https://www.propertyfinder.ae/en/broker/mazaya-fze-llc-10008,5,5,4,419,419,0,0,Arabic; English,Al Alia; Al Mowaihat; Al Rawda; Al Yasmeen; Al Zahya; Al Zorah; Muwaileh Commercial,+971527979819; +971506645087; +971529895081; +971506642275; +971506450135,aboodomran306@gmail.com; mosalahdorgam@gmail.com; masem3281@gmail.com; tahsinmohamed17@gmail.com; osamaadb50@gmail.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,11122,IMPERIAL HOMES PROPERTIES,imperial-homes-properties-11248,"Office 01, Building Al zaher 3, Al Rashidiya, Badr St, Ajman,",Ajman,https://www.propertyfinder.ae/en/broker/imperial-homes-properties-11248,6,4,3,762,318,75,369,Arabic; English,Ajman Downtown; Al Jurf Industrial; Al Mowaihat; Al Rashidiya; Al Yasmeen; Al Zahya; Emirates Modern Industrial; Umm Al Thuoob,+971581181272; +971542457154; +971581181276; +971581181275; +971581181271,imperialhomsproperties@gmail.com; imperialhomesproperties5@gmail.com; imperialhomesproperties02@gmail.com; imperialhomesproperties99@gmail.com; imperialhomesproperties9@gmail.com; imperialhomesproperties3@gmail.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,12210,ELITE HOME REAL ESTATE L.L.C S.P,elite-home-real-estate-l-l-c-s-p-12339,"Office 1003, Building Texas Business Center, Al Mahatah, King Abdul Azeez St, Sharjah,",Sharjah,https://www.propertyfinder.ae/en/broker/elite-home-real-estate-l-l-c-s-p-12339,4,4,4,300,261,20,19,Arabic; English; Hindi; Urdu,Al Khan; Aljada; Sharjah Sustainable City; Tilal City,+971544445305; +971544449793; +971544441874; +971544449427,fawzi.farouk@elitehomeuae.com; amr.adel@elitehomeuae.com; amir.hussain@elitehomeuae.com; Ahmed.Shalaby@elitehomeuae.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,260,Provident Real Estate,provident-real-estate-336,"Office 1802, Building Marina Plaza, Dubai Marina, Marsa St, Dubai,",Dubai,https://www.propertyfinder.ae/en/broker/provident-real-estate-336,8,8,8,210,76,133,1,Arabic; English; French; Kazakh; Russian; Spanish; Urdu,Al Furjan; Business Bay; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Hills Estate; Dubai Investment Park (DIP); Dubai Land; Dubai Marina; Mohammed Bin Rashid City; Nad Al Sheba; Palm Jumeirah; The Springs; Tilal Al Ghaf,+971504938247; +971507977264; +971504401576; +971547935474; +971507549654; +971503007480; +971565250274; +971504676384,tarek.a@providentestate.com; ryan.o@providentestate.com; jad.d@providentestate.com; suleyman@providentestate.com; hend@providentestate.com; lorenzo@providentestate.com; diana.u@providentestate.com; a.walid@propertymanagement.ae,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,3722,ALH PROPERTIES,alh-properties-3848,"Office 3206, Building Marina Plaza, Dubai Marina, -, Dubai,",Dubai,https://www.propertyfinder.ae/en/broker/alh-properties-3848,5,5,3,711,633,78,0,Arabic; English; Polish,Al Barsha; Arjan; Dubai Creek Harbour (The Lagoons); Dubai Hills Estate; Dubai Land; Dubai Marina; Dubai South (Dubai World Central); Jumeirah Beach Residence; Jumeirah Village Circle; Motor City; Mudon; Palm Jumeirah; The Springs,+971585297704; +971505565363; +971585559944; +971547600785; +971585995185,anthony.tsang@alhprops.com; andrew.white@alhprops.com; asem.alhelwani@alhprops.com; ryan.marshall@alhprops.com; paulina.mikowska@alhprops.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,9485,Al Sahl Real Estate L.L.C SP,al-sahl-real-estate-l-l-c-sp-9611,"Office 24th floor office 24, Building Business Tower, Al Majaz 3, Al Courneich Street, Sharjah,",Sharjah,https://www.propertyfinder.ae/en/broker/al-sahl-real-estate-l-l-c-sp-9611,3,1,1,336,185,1,150,Arabic; English,Al Badie; Muwaileh Commercial; Sharjah Industrial Area; Tilal City,+971567767732; +971542470212; +971563988487,sales32.alsahlrealestate@gmail.com; sales12alsahlrealestate@gmail.com; amr_said.15@icloud.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,436,Espace Real Estate,espace-real-estate-524,"Office 2702 - 2703, Building Marina Plaza, Dubai Marina, Marsa Street, Dubai, PO Box 282391",Dubai,https://www.propertyfinder.ae/en/broker/espace-real-estate-524,12,12,12,189,143,45,1,Azerbaijani; Dutch; English; Italian; Russian,Al Furjan; Arabian Ranches; Arabian Ranches 3; Bluewaters; Downtown Dubai; Dubai Hills Estate; Dubai Investment Park (DIP); Dubai Marina; Dubai Media City; Dubai South (Dubai World Central); Dubai Sports City; Emirates Hills; Jumeirah Beach Residence; Jumeirah Lake Towers,+971503892091; +971508783480; +971565977720; +971565557718; +971585018020; +971502447370; +971558466950; +971502415087,sabir@espace.ae; masha@espace.ae; robbie@espace.ae; danny@espace.ae; marco@espace.ae; hossein@espace.ae; joren@espace.ae; matthew@espace.ae,99,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,1060,haus & haus,haus-haus-1161,"Office R001, Building Building 7, Al Quoz, Emaar Gold & Diamond Park, Dubai, PO Box 128793",Dubai,https://www.propertyfinder.ae/en/broker/haus-haus-1161,17,17,17,164,162,2,0,English; Japanese,Al Barari; Al Furjan; Arabian Ranches; Arabian Ranches 2; Business Bay; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Hills Estate; Dubai Investment Park (DIP); Greens; Jumeirah; Jumeirah Golf Estates; Jumeirah Lake Towers; Jumeirah Park,+971585328780; +971504940897; +971502218464; +971585757891; +971544473128; +971505980269; +971502307106; +971585467722,simira@hausandhaus.com; asim@hausandhaus.com; jack.s@hausandhaus.com; talia@hausandhaus.com; adrian@hausandhaus.com; cathal@hausandhaus.com; callum.f@hausandhaus.com; bradley.rathbone@hausandhaus.com,99,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,4072,fam Real Estate Broker - Dubai Marina,fam-properties-branch-6-4198,"Office 1401, Building Marina Plaza, Dubai Marina, Floor 14, Dubai, PO Box -",Dubai,https://www.propertyfinder.ae/en/broker/fam-properties-branch-6-4198,4,4,4,228,103,56,69,Arabic; English; French; Portuguese; Russian,Al Furjan; Al Sufouh; Bur Dubai; Business Bay; City Walk; Downtown Dubai; Dubai Harbour; Dubai Production City (IMPZ); Jumeirah Lake Towers; Nad Al Sheba,+971569551551,mishel@famproperties.com; jean.s@famproperties.com; abdullah.a@famproperties.com; chady@famproperties.com,99,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,12752,Trust Properties L.L.C,trust-properties-l-l-c-12881,"Office 1509, Building Horizon Tower, Al Rashidiya, Al Rashidiya 1, Ajman,",Ajman,https://www.propertyfinder.ae/en/broker/trust-properties-l-l-c-12881,3,3,3,234,232,1,1,Arabic; English,Al Alia; Al Rashidiya; Al Yasmeen,+971568940138; +971545057295; +971561185930,trust.properties.uae1@gmail.com; trust.properties.uae4@gmail.com; trust.properties.uae@gmail.com,99,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,2288,Sky View Real Estate Brokers,sky-view-real-estate-brokers-2416,"Office 1109, Building Clover Bay Tower, Business Bay, Al Abraj St, Dubai,",Dubai,https://www.propertyfinder.ae/en/broker/sky-view-real-estate-brokers-2416,5,5,4,213,203,9,1,Arabic; English; French; Gujarati; Hindi; Italian; Punjabi,Arjan; Business Bay; DIFC; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Design District; Dubai Hills Estate; Dubai Land; Jumeirah; Jumeirah Village Circle; Maritime City; Palm Jebel Ali,+971525534754; +971528917696; +971586866716; +971526920793; +971508450244,bana@skyviewdubai.com; kerttu@skyviewdubai.com; leena.n@skyviewre.ae; pratik@skyviewdubai.com; jayesh@skyviewdubai.com,97,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,5006,Royal Manor Real Estate Broker,royal-manor-real-estate-broker-5132,"Office M-39,, Building Jumeirah Living Marina Gate, Dubai Marina, Marsa Dubai, Dubai., Dubai Marina, Al Sharta St, Dubai,",Dubai,https://www.propertyfinder.ae/en/broker/royal-manor-real-estate-broker-5132,1,1,0,327,83,244,0,English; German; Hindi,Al Furjan; Al Marjan Island; Dubai Marina,+971585244900,info@royalmanor.ae,94,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
